level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020,Satisfied with area_2015-2021,Area is good to raise kids_2015-2021,Local youth have positive role models_2015-2021,Local government is responsive_2015-2021,Have some influence over local government_2015-2021,Feel safe walking at night_2015-2021,Trust neighbors_2015-2021,Food insecure in past year_2015-2021,No bank account_2015-2021,Just getting by financially_2015-2021,"Stores, banks, etc. are in walking distance_2015-2021",Safe sidewalks in area_2015-2021,Safe places to bike in area_2015-2021,Local recreational facilities available_2015-2021
town,Voluntown,2567,419,0.16,2148,0.84,392,0.15,2079,0.81,0,0,138,0.05,350,0.14,45,0.02,1057,811,0.77,225,0.22,2567,197,0.08,526,0.2,419,49,0.12,159,0.38,392,9,0.02,50,0.13,84.4,0.053,0.113,0.091,0.29,0.243,0.105,0.766,0.73,0.058,0.173,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Wallingford,44251,7999,0.18,36252,0.82,9358,0.21,35503,0.8,550,0.01,5140,0.12,3058,0.07,5164,0.12,18431,13735,0.75,5264,0.29,43451,2678,0.06,5897,0.14,7989,592,0.07,1102,0.14,8812,750,0.09,2050,0.23,80.8,0.052,0.104,0.085,0.299,0.231,0.103,0.753,0.748,0.059,0.137,0.336,0.88,0.9,0.87,0.59,0.69,0.76,0.91,0.11,0.05,0.31,0.52,0.73,0.66,0.73
town,Warren,1533,201,0.13,1332,0.87,324,0.21,991,0.65,52,0.03,374,0.24,116,0.08,81,0.05,523,483,0.92,134,0.26,1532,48,0.03,146,0.1,200,4,0.02,15,0.07,324,18,0.06,73,0.23,NA,0.056,0.097,0.086,0.3,0.209,0.099,0.762,0.762,0.043,0.109,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Washington,3651,781,0.21,2870,0.79,861,0.24,2691,0.74,32,0.01,828,0.23,100,0.03,552,0.15,1453,1011,0.7,458,0.33,3514,374,0.11,886,0.25,756,161,0.21,313,0.41,861,27,0.03,154,0.18,82.6,0.06,0.098,0.091,0.308,0.221,0.107,0.767,0.76,0.045,0.103,0.298,0.84,0.93,0.96,0.78,0.76,0.76,0.89,0.18,0,0.32,0.22,0.27,0.64,0.76
town,Waterbury,114480,25949,0.23,88531,0.77,15928,0.14,34844,0.3,29181,0.25,41055,0.36,9400,0.08,20662,0.18,45968,20151,0.44,19836,0.45,112426,24638,0.22,48751,0.43,25180,7655,0.3,14239,0.57,15391,2261,0.15,5662,0.37,76.8,0.064,0.125,0.131,0.341,0.337,0.164,0.744,0.58,0.151,0.215,0.397,0.63,0.36,0.48,0.3,0.56,0.47,0.63,0.25,0.22,0.49,0.66,0.61,0.37,0.66
town,Waterford,19580,3717,0.19,15863,0.81,4088,0.21,16837,0.86,381,0.02,746,0.04,1616,0.08,1048,0.05,8023,6463,0.81,1957,0.25,19179,985,0.05,2936,0.15,3711,277,0.07,762,0.21,3801,166,0.04,549,0.14,79.4,0.062,0.106,0.098,0.314,0.246,0.112,0.793,0.76,0.054,0.13,0.32,0.87,0.9,0.9,0.59,0.67,0.77,0.93,0.12,0.06,0.3,0.43,0.68,0.61,0.71
town,Watertown,22177,4109,0.19,18068,0.81,4993,0.23,17654,0.8,454,0.02,2461,0.11,1608,0.07,3044,0.14,8796,6806,0.77,2795,0.32,22065,1528,0.07,3920,0.18,4078,474,0.12,857,0.21,4914,212,0.04,949,0.19,80.1,0.055,0.103,0.085,0.288,0.234,0.109,0.744,0.723,0.057,0.13,0.321,0.84,0.8,0.87,0.47,0.61,0.71,0.9,0.09,0.07,0.26,0.53,0.64,0.55,0.67
town,West Hartford,64088,14046,0.22,50042,0.78,11949,0.19,44049,0.69,4528,0.07,8597,0.13,6914,0.11,11156,0.17,26100,17905,0.69,7209,0.28,62860,3729,0.06,8198,0.13,13996,754,0.05,1772,0.13,11376,913,0.08,2350,0.21,82.4,0.052,0.107,0.089,0.306,0.227,0.098,0.784,0.768,0.048,0.092,0.308,0.92,0.94,0.92,0.72,0.74,0.82,0.93,0.07,0.05,0.22,0.83,0.92,0.86,0.92
town,West Haven,55336,11104,0.2,44232,0.8,8070,0.15,27477,0.5,8944,0.16,14801,0.27,4114,0.07,10571,0.19,20405,10625,0.52,7897,0.4,51614,5812,0.11,14495,0.28,11017,1215,0.11,4214,0.38,7914,486,0.06,1590,0.2,77.8,0.05,0.115,0.099,0.304,0.268,0.118,0.744,0.669,0.094,0.167,0.376,0.76,0.58,0.64,0.34,0.56,0.61,0.77,0.21,0.15,0.4,0.73,0.75,0.62,0.69
town,Westbrook,6816,766,0.11,6050,0.89,2176,0.32,5196,0.76,86,0.01,903,0.13,631,0.09,988,0.14,3363,2694,0.8,1146,0.35,6795,297,0.04,1189,0.17,766,0,0,21,0.03,2168,61,0.03,380,0.18,82.4,0.058,0.105,0.091,0.308,0.228,0.105,0.792,0.762,0.049,0.115,0.288,0.85,0.98,0.92,0.68,0.61,0.77,1,0.08,0.06,0.29,0.54,0.65,0.69,0.68
