level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020,Satisfied with area_2015-2021,Area is good to raise kids_2015-2021,Local youth have positive role models_2015-2021,Local government is responsive_2015-2021,Have some influence over local government_2015-2021,Feel safe walking at night_2015-2021,Trust neighbors_2015-2021,Food insecure in past year_2015-2021,No bank account_2015-2021,Just getting by financially_2015-2021,"Stores, banks, etc. are in walking distance_2015-2021",Safe sidewalks in area_2015-2021,Safe places to bike in area_2015-2021,Local recreational facilities available_2015-2021
town,Andover,3160,508,0.16,2652,0.84,560,0.18,2946,0.93,17,0.01,12,0,185,0.06,146,0.05,1158,1036,0.89,314,0.27,3160,38,0.01,182,0.06,508,0,0,21,0.04,560,9,0.02,86,0.15,85.2,0.047,0.109,0.079,0.29,0.211,0.093,0.776,0.746,0.047,0.138,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Ansonia,18954,3632,0.19,15322,0.81,3486,0.18,9946,0.52,2023,0.11,5870,0.31,1115,0.06,3546,0.19,7922,4270,0.54,2851,0.37,18954,2154,0.11,5221,0.28,3632,390,0.11,1407,0.39,3486,454,0.13,996,0.29,76.4,0.055,0.115,0.101,0.314,0.275,0.126,0.745,0.669,0.092,0.179,0.37,0.81,0.62,0.68,0.52,0.56,0.62,0.83,0.18,0.12,0.43,0.58,0.68,0.59,0.65
town,Ashford,4218,950,0.23,3268,0.77,601,0.14,3367,0.8,0,0,648,0.15,203,0.05,187,0.04,1806,1421,0.79,488,0.28,4215,180,0.04,735,0.17,950,29,0.03,256,0.27,598,17,0.03,91,0.15,78.1,0.048,0.112,0.09,0.295,0.244,0.11,0.747,0.734,0.055,0.147,0.329,0.76,0.91,0.93,0.69,0.69,0.88,0.94,0.1,0,0.34,0.1,0.06,0.6,0.69
town,Avon,18852,4416,0.23,14436,0.77,3944,0.21,14096,0.75,404,0.02,1015,0.05,3337,0.18,3456,0.18,7579,6303,0.83,1924,0.26,18636,886,0.05,1768,0.09,4403,224,0.05,347,0.08,3766,133,0.04,467,0.12,83.1,0.053,0.104,0.087,0.315,0.209,0.092,0.793,0.799,0.033,0.087,0.3,0.94,0.86,0.82,0.62,0.67,0.68,0.87,0.11,0.1,0.22,0.54,0.64,0.8,0.78
town,Barkhamsted,3660,699,0.19,2961,0.81,878,0.24,3186,0.87,2,0,388,0.11,84,0.02,116,0.03,1386,1247,0.9,245,0.18,3660,179,0.05,257,0.07,699,55,0.08,55,0.08,878,28,0.03,55,0.06,81.8,0.051,0.101,0.082,0.283,0.211,0.098,0.747,0.75,0.046,0.122,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Beacon Falls,6061,968,0.16,5093,0.84,1537,0.25,5049,0.83,244,0.04,482,0.08,286,0.05,336,0.06,2613,2150,0.82,985,0.38,6061,220,0.04,638,0.11,968,43,0.04,43,0.04,1537,64,0.04,193,0.13,NA,0.047,0.106,0.081,0.288,0.216,0.094,0.746,0.751,0.053,0.145,0.343,0.9,0.9,0.83,0.68,0.69,0.87,0.94,0.14,0.08,0.35,0.39,0.37,0.66,0.82
town,Berlin,20149,4093,0.2,16056,0.8,4606,0.23,17532,0.87,160,0.01,1093,0.05,1364,0.07,2271,0.11,8221,6714,0.82,2397,0.3,20072,964,0.05,2193,0.11,4027,293,0.07,635,0.16,4595,287,0.06,551,0.12,80.6,0.06,0.111,0.096,0.329,0.253,0.114,0.781,0.745,0.049,0.124,0.319,0.86,0.88,0.9,0.52,0.7,0.81,0.95,0.08,0.05,0.26,0.4,0.55,0.59,0.72
town,Bethany,5295,1083,0.2,4212,0.8,964,0.18,4862,0.92,127,0.02,78,0.01,228,0.04,467,0.09,1742,1615,0.93,374,0.22,5226,74,0.01,258,0.05,1015,0,0,0,0,964,20,0.02,116,0.12,82.6,0.048,0.101,0.081,0.295,0.202,0.091,0.761,0.782,0.044,0.121,0.327,0.97,0.98,0.95,0.49,0.82,0.82,0.97,0.07,0,0.15,0.13,0.05,0.59,0.68
town,Bethel,20406,4786,0.23,15620,0.77,2971,0.15,13568,0.66,1393,0.07,2638,0.13,2807,0.14,4214,0.21,7390,5795,0.78,2656,0.36,20205,856,0.04,4283,0.21,4745,127,0.03,1569,0.33,2815,209,0.07,619,0.22,81.3,0.044,0.101,0.069,0.249,0.186,0.086,0.723,0.758,0.057,0.112,0.302,0.91,0.99,0.9,0.61,0.75,0.76,0.89,0.1,0.05,0.3,0.56,0.55,0.56,0.74
town,Bethlehem,3399,697,0.21,2702,0.79,707,0.21,3045,0.9,29,0.01,126,0.04,199,0.06,252,0.07,1305,988,0.76,401,0.31,3375,255,0.08,552,0.16,689,16,0.02,102,0.15,707,19,0.03,95,0.13,81.1,0.053,0.1,0.085,0.292,0.214,0.102,0.755,0.753,0.043,0.116,0.313,0.83,0.79,0.87,0.68,0.82,0.83,0.93,0.17,0.19,0.43,0.31,0.26,0.51,0.6
town,Bloomfield,21460,3323,0.15,18137,0.85,5228,0.24,6512,0.3,11750,0.55,1848,0.09,1350,0.06,4421,0.21,8984,6046,0.67,2994,0.34,21115,1542,0.07,3177,0.15,3283,230,0.07,555,0.17,5008,349,0.07,829,0.17,80.1,0.069,0.125,0.142,0.419,0.3,0.154,0.828,0.69,0.064,0.128,0.377,0.93,0.81,0.83,0.56,0.73,0.68,0.9,0.15,0.09,0.32,0.61,0.57,0.71,0.74
town,Bolton,4851,889,0.18,3962,0.82,976,0.2,4316,0.89,63,0.01,235,0.05,237,0.05,435,0.09,1917,1732,0.9,497,0.26,4839,286,0.06,661,0.14,877,38,0.04,141,0.16,976,44,0.05,155,0.16,80.9,0.053,0.107,0.086,0.306,0.22,0.1,0.785,0.744,0.048,0.129,0.323,0.98,0.93,0.84,0.48,0.64,0.67,0.95,0.05,0.12,0.36,0.21,0.21,0.73,0.53
town,Bozrah,2410,496,0.21,1914,0.79,420,0.17,2220,0.92,15,0.01,86,0.04,89,0.04,36,0.01,943,790,0.84,166,0.18,2406,236,0.1,507,0.21,492,129,0.26,192,0.39,420,17,0.04,84,0.2,77.9,0.055,0.108,0.09,0.292,0.237,0.102,0.773,0.747,0.056,0.15,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Branford,28177,4278,0.15,23899,0.85,7546,0.27,24071,0.85,702,0.02,1659,0.06,1745,0.06,2601,0.09,13087,8866,0.68,4467,0.35,27942,1855,0.07,4496,0.16,4247,333,0.08,624,0.15,7349,444,0.06,1323,0.18,80.3,0.056,0.104,0.09,0.317,0.231,0.108,0.767,0.758,0.051,0.129,0.328,0.88,0.89,0.91,0.58,0.7,0.79,0.9,0.13,0.07,0.34,0.63,0.65,0.69,0.82
town,Bridgeport,148470,30802,0.21,117668,0.79,20091,0.14,48108,0.32,29156,0.2,53790,0.36,17416,0.12,46663,0.31,55550,25118,0.45,27657,0.51,144673,33135,0.23,63425,0.44,30537,10637,0.35,18937,0.62,19636,3324,0.17,7767,0.4,77.7,0.052,0.122,0.115,0.295,0.298,0.144,0.715,0.56,0.179,0.181,0.377,0.69,0.31,0.47,0.3,0.61,0.46,0.62,0.29,0.22,0.52,0.78,0.76,0.48,0.63
town,Bridgewater,1701,238,0.14,1463,0.86,574,0.34,1610,0.95,19,0.01,33,0.02,39,0.02,123,0.07,696,620,0.89,120,0.17,1701,32,0.02,71,0.04,238,0,0,0,0,574,7,0.01,24,0.04,81.5,0.061,0.095,0.09,0.317,0.212,0.104,0.779,0.779,0.038,0.095,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Bristol,61052,12999,0.21,48053,0.79,9426,0.15,39210,0.64,4156,0.07,12373,0.2,5313,0.09,5710,0.09,24076,15659,0.65,7860,0.33,60308,5665,0.09,13991,0.23,12765,1862,0.15,4103,0.32,9005,617,0.07,1962,0.22,79.3,0.06,0.12,0.101,0.322,0.286,0.127,0.763,0.682,0.075,0.156,0.345,0.77,0.62,0.69,0.45,0.6,0.65,0.79,0.19,0.13,0.38,0.64,0.73,0.55,0.74
town,Brookfield,17468,3777,0.22,13691,0.78,3578,0.2,14375,0.82,382,0.02,1468,0.08,1243,0.07,2293,0.13,6584,5581,0.85,1876,0.29,17347,808,0.05,1836,0.11,3712,254,0.07,501,0.13,3522,119,0.03,299,0.08,81.2,0.048,0.101,0.072,0.262,0.188,0.089,0.732,0.766,0.051,0.109,0.295,0.84,0.86,0.99,0.49,0.82,0.81,0.88,0.12,0.06,0.27,0.27,0.24,0.61,0.72
town,Brooklyn,8402,1665,0.2,6737,0.8,1477,0.18,7003,0.83,88,0.01,594,0.07,717,0.09,677,0.08,2925,2377,0.81,843,0.29,7951,459,0.06,1353,0.17,1625,114,0.07,206,0.13,1410,51,0.04,478,0.34,79.7,0.055,0.112,0.098,0.316,0.276,0.127,0.746,0.699,0.07,0.168,0.344,0.84,0.83,0.88,0.53,0.64,0.73,0.85,0.19,0.08,0.34,0.39,0.47,0.68,0.63
town,Burlington,9557,2530,0.26,7027,0.74,1187,0.12,7931,0.83,125,0.01,640,0.07,861,0.09,924,0.1,3206,2936,0.92,574,0.18,9538,269,0.03,741,0.08,2511,20,0.01,144,0.06,1187,23,0.02,89,0.07,82.8,0.046,0.11,0.082,0.294,0.208,0.088,0.771,0.774,0.039,0.116,0.32,0.88,0.93,0.9,0.61,0.79,0.9,0.97,0.02,0.07,0.29,0.27,0.2,0.74,0.7
town,Canaan,1155,154,0.13,1001,0.87,263,0.23,1058,0.92,0,0,14,0.01,83,0.07,97,0.08,502,428,0.85,194,0.41,1155,187,0.16,318,0.28,154,13,0.08,30,0.19,263,6,0.02,47,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Canterbury,5067,809,0.16,4258,0.84,979,0.19,4261,0.84,77,0.02,467,0.09,262,0.05,181,0.04,2308,1940,0.84,490,0.22,5067,269,0.05,685,0.14,809,47,0.06,117,0.14,979,21,0.02,163,0.17,NA,0.049,0.111,0.09,0.3,0.246,0.112,0.747,0.737,0.055,0.156,0.337,0.79,0.78,0.91,0.59,0.77,0.66,0.81,0.12,0.11,0.19,0.21,0.09,0.25,0.47
town,Canton,10125,2296,0.23,7829,0.77,2239,0.22,9289,0.92,166,0.02,250,0.02,420,0.04,634,0.06,4221,3509,0.83,1377,0.33,9996,498,0.05,1222,0.12,2266,135,0.06,287,0.13,2172,80,0.04,257,0.12,81.9,0.054,0.11,0.09,0.316,0.226,0.1,0.782,0.772,0.038,0.108,0.313,0.93,0.92,0.95,0.73,0.87,0.67,0.92,0.14,0.17,0.2,0.63,0.55,0.81,0.82
town,Chaplin,2229,361,0.16,1868,0.84,353,0.16,1769,0.79,12,0.01,305,0.14,143,0.06,117,0.05,918,731,0.8,293,0.32,2229,182,0.08,514,0.23,361,24,0.07,81,0.22,353,23,0.07,70,0.2,78.3,0.052,0.11,0.095,0.307,0.262,0.119,0.743,0.714,0.065,0.165,0.337,0.86,0.86,0.89,0.54,0.7,0.72,0.76,0.04,0.06,0.46,0.17,0.12,0.54,0.75
town,Cheshire,28791,6507,0.23,22284,0.77,5172,0.18,20342,0.71,1353,0.05,1840,0.06,5256,0.18,3628,0.13,9810,8612,0.88,2139,0.23,26892,1014,0.04,2260,0.08,6326,176,0.03,391,0.06,4969,289,0.06,631,0.13,81.5,0.045,0.098,0.075,0.282,0.196,0.084,0.756,0.784,0.046,0.11,0.323,0.91,0.94,0.92,0.67,0.7,0.81,0.94,0.09,0.03,0.24,0.42,0.67,0.85,0.86
town,Chester,3740,627,0.17,3113,0.83,995,0.27,3308,0.88,41,0.01,194,0.05,197,0.05,188,0.05,1559,1123,0.72,597,0.39,3633,348,0.1,666,0.18,627,131,0.21,196,0.31,890,41,0.05,120,0.13,82.4,0.065,0.107,0.096,0.327,0.25,0.12,0.8,0.756,0.047,0.123,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Clinton,13284,2186,0.16,11098,0.84,3019,0.23,11747,0.88,64,0,709,0.05,764,0.06,947,0.07,5430,4657,0.86,1429,0.27,13246,597,0.05,1483,0.11,2176,103,0.05,282,0.13,2991,115,0.04,352,0.12,81,0.054,0.11,0.089,0.294,0.229,0.104,0.779,0.741,0.054,0.133,0.302,0.92,0.89,0.81,0.52,0.68,0.79,0.9,0.1,0.08,0.27,0.41,0.39,0.69,0.82
town,Colchester,15550,3668,0.24,11882,0.76,2621,0.17,14142,0.91,345,0.02,465,0.03,598,0.04,785,0.05,6089,4870,0.8,1541,0.26,15382,700,0.05,1996,0.13,3668,129,0.04,403,0.11,2482,155,0.06,494,0.2,78.8,0.047,0.11,0.081,0.268,0.218,0.09,0.768,0.761,0.051,0.14,0.331,0.86,0.82,0.78,0.49,0.61,0.83,0.92,0.12,0.12,0.33,0.49,0.56,0.8,0.61
town,Colebrook,1594,260,0.16,1334,0.84,358,0.22,1349,0.85,75,0.05,33,0.02,137,0.09,97,0.06,621,578,0.93,98,0.16,1554,91,0.06,165,0.11,256,35,0.14,45,0.18,358,13,0.04,39,0.11,80.9,0.055,0.1,0.085,0.291,0.221,0.102,0.747,0.739,0.048,0.128,0.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Columbia,5280,669,0.13,4611,0.87,1340,0.25,4553,0.86,98,0.02,283,0.05,346,0.07,156,0.03,2161,1851,0.86,370,0.17,5280,327,0.06,1129,0.21,669,0,0,69,0.1,1340,217,0.16,592,0.44,81.9,0.052,0.106,0.082,0.302,0.209,0.094,0.788,0.761,0.043,0.119,0.319,0.93,0.83,0.92,0.71,0.65,0.82,0.92,0.02,0.02,0.13,0.16,0.17,0.67,0.7
town,Cornwall,1315,188,0.14,1127,0.86,342,0.26,1100,0.84,32,0.02,63,0.05,120,0.09,139,0.11,615,488,0.79,221,0.38,1315,209,0.16,311,0.24,188,72,0.38,87,0.46,342,11,0.03,24,0.07,NA,0.069,0.102,0.103,0.334,0.246,0.125,0.773,0.739,0.046,0.118,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Coventry,12254,2592,0.21,9662,0.79,2202,0.18,11269,0.92,0,0,575,0.05,410,0.03,680,0.06,4931,4445,0.9,940,0.19,12211,546,0.04,1189,0.1,2550,235,0.09,407,0.16,2202,39,0.02,107,0.05,81.2,0.043,0.107,0.073,0.274,0.198,0.084,0.77,0.755,0.044,0.125,0.327,0.86,0.86,0.9,0.53,0.73,0.74,0.95,0.09,0.07,0.35,0.25,0.22,0.62,0.68
town,Cromwell,14250,2686,0.19,11564,0.81,3074,0.22,10766,0.76,646,0.05,1212,0.09,1626,0.11,1327,0.09,5920,4544,0.77,1698,0.29,13881,815,0.06,2567,0.18,2684,82,0.03,444,0.17,2831,141,0.05,586,0.21,81.3,0.056,0.108,0.089,0.295,0.232,0.106,0.782,0.744,0.053,0.122,0.299,0.89,0.9,0.96,0.63,0.69,0.79,0.95,0.19,0.06,0.28,0.62,0.66,0.57,0.75
town,Danbury,86456,17560,0.2,68896,0.8,12823,0.15,38648,0.45,10352,0.12,27435,0.32,10021,0.12,28250,0.33,31692,17722,0.56,13071,0.42,83272,8795,0.11,23879,0.29,17288,2804,0.16,7533,0.44,12408,1057,0.09,2874,0.23,81.4,0.045,0.107,0.079,0.245,0.231,0.102,0.699,0.666,0.118,0.143,0.33,0.87,0.77,0.78,0.58,0.65,0.68,0.87,0.11,0.09,0.33,0.51,0.48,0.45,0.61
town,Darien,21571,6786,0.31,14785,0.69,2785,0.13,17556,0.81,317,0.01,1259,0.06,2439,0.11,2458,0.11,7116,6028,0.85,2099,0.3,21571,1166,0.05,1617,0.07,6786,370,0.05,480,0.07,2785,104,0.04,252,0.09,83.4,0.04,0.094,0.06,0.238,0.149,0.068,0.736,0.816,0.035,0.077,0.274,0.94,0.93,0.94,0.77,0.77,0.86,0.97,0.03,0.05,0.21,0.65,0.69,0.59,0.8
town,Deep River,4445,904,0.2,3541,0.8,893,0.2,4023,0.91,70,0.02,215,0.05,137,0.03,385,0.09,2035,1333,0.66,497,0.25,4426,213,0.05,432,0.1,886,10,0.01,32,0.04,893,32,0.04,162,0.18,77.9,0.049,0.104,0.081,0.282,0.208,0.092,0.779,0.766,0.048,0.119,0.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Derby,12373,2089,0.17,10284,0.83,2567,0.21,6980,0.56,1352,0.11,2852,0.23,1189,0.1,1726,0.14,5713,3645,0.64,2517,0.45,12250,1643,0.13,3645,0.3,2070,409,0.2,851,0.41,2478,496,0.2,881,0.36,78.5,0.059,0.114,0.102,0.319,0.282,0.131,0.746,0.671,0.091,0.179,0.364,0.79,0.59,0.7,0.43,0.57,0.68,0.82,0.13,0.13,0.4,0.56,0.58,0.62,0.7
town,Durham,7197,1223,0.17,5974,0.83,1344,0.19,6415,0.89,6,0,218,0.03,558,0.08,201,0.03,3067,2859,0.93,552,0.18,7148,312,0.04,618,0.09,1216,28,0.02,53,0.04,1313,69,0.05,175,0.13,81.1,0.047,0.105,0.077,0.276,0.199,0.087,0.779,0.775,0.042,0.117,0.293,0.86,0.94,0.99,0.59,0.64,0.9,0.99,0.05,0,0.36,0.31,0.33,0.46,0.65
town,East Granby,5198,1440,0.28,3758,0.72,989,0.19,4071,0.78,247,0.05,251,0.05,629,0.12,455,0.09,1947,1585,0.81,538,0.28,5079,143,0.03,381,0.08,1321,0,0,56,0.04,989,18,0.02,85,0.09,83.4,0.052,0.112,0.089,0.309,0.228,0.098,0.775,0.757,0.045,0.118,0.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,East Haddam,8921,1593,0.18,7328,0.82,2140,0.24,8342,0.94,20,0,300,0.03,259,0.03,391,0.04,3676,3078,0.84,890,0.25,8820,430,0.05,1633,0.19,1582,98,0.06,443,0.28,2079,121,0.06,463,0.22,83.3,0.052,0.11,0.086,0.291,0.225,0.101,0.776,0.743,0.05,0.139,0.306,0.77,0.74,0.8,0.39,0.57,0.71,0.88,0.12,0.01,0.34,0.13,0.13,0.51,0.52
town,East Hampton,12798,2840,0.22,9958,0.78,2409,0.19,11132,0.87,39,0,944,0.07,683,0.05,599,0.05,4850,4266,0.88,1320,0.27,12649,506,0.04,1490,0.12,2774,138,0.05,415,0.15,2329,107,0.05,330,0.14,82.6,0.05,0.11,0.084,0.283,0.221,0.098,0.772,0.74,0.052,0.14,0.309,0.89,0.91,0.83,0.48,0.75,0.79,0.87,0.12,0.02,0.35,0.37,0.39,0.73,0.66
town,East Hartford,50942,11035,0.22,39907,0.78,7026,0.14,16439,0.32,12108,0.24,19014,0.37,3381,0.07,9918,0.19,20086,11948,0.59,7992,0.41,50407,6910,0.14,18296,0.36,10785,1848,0.17,5431,0.5,6834,950,0.14,2047,0.3,77.7,0.061,0.126,0.127,0.348,0.321,0.148,0.773,0.614,0.118,0.172,0.38,0.83,0.59,0.62,0.4,0.57,0.61,0.77,0.15,0.14,0.37,0.64,0.86,0.75,0.81
town,East Haven,27871,4789,0.17,23082,0.83,5576,0.2,20710,0.74,1090,0.04,4856,0.17,1215,0.04,2918,0.1,11028,8323,0.75,3910,0.36,27582,2010,0.07,5738,0.21,4732,345,0.07,1154,0.24,5372,551,0.1,1444,0.27,78.8,0.059,0.109,0.097,0.319,0.268,0.124,0.751,0.701,0.076,0.163,0.352,0.82,0.73,0.74,0.48,0.57,0.7,0.82,0.16,0.07,0.35,0.69,0.67,0.5,0.68
town,East Lyme,18600,3238,0.17,15362,0.83,4742,0.25,15243,0.82,478,0.03,856,0.05,2023,0.11,1705,0.09,7654,5728,0.75,2319,0.31,17527,999,0.06,2323,0.13,3218,230,0.07,396,0.12,4599,278,0.06,857,0.19,81,0.052,0.108,0.089,0.289,0.226,0.097,0.786,0.763,0.056,0.126,0.324,0.92,0.96,0.94,0.67,0.77,0.82,0.95,0.05,0.07,0.2,0.4,0.43,0.59,0.7
town,East Windsor,11180,1568,0.14,9612,0.86,2289,0.2,7586,0.68,814,0.07,1058,0.09,1722,0.15,1575,0.14,5075,3703,0.73,1487,0.3,10968,832,0.08,1756,0.16,1554,159,0.1,237,0.15,2144,160,0.07,571,0.27,79.3,0.055,0.114,0.095,0.317,0.252,0.11,0.772,0.724,0.055,0.131,0.335,0.85,0.66,0.72,0.44,0.57,0.74,0.87,0.04,0.1,0.31,0.47,0.44,0.55,0.64
town,Eastford,1618,299,0.18,1319,0.82,279,0.17,1360,0.84,2,0,200,0.12,56,0.03,72,0.04,591,477,0.81,132,0.23,1603,89,0.06,245,0.15,299,17,0.06,60,0.2,279,23,0.08,72,0.26,83.5,0.052,0.107,0.093,0.31,0.243,0.113,0.757,0.751,0.05,0.138,0.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Easton,7630,1908,0.25,5722,0.75,1386,0.18,6853,0.9,79,0.01,135,0.02,563,0.07,601,0.08,2686,2245,0.84,636,0.24,7615,570,0.07,703,0.09,1893,236,0.12,248,0.13,1386,44,0.03,102,0.07,83.4,0.048,0.095,0.07,0.266,0.17,0.082,0.748,0.802,0.038,0.089,0.279,0.85,0.92,0.92,0.63,0.77,0.78,0.97,0.09,0.03,0.32,0.14,0.21,0.57,0.65
town,Ellington,16558,3833,0.23,12725,0.77,2985,0.18,13464,0.81,600,0.04,1064,0.06,1430,0.09,1112,0.07,6477,4520,0.7,1747,0.27,16440,1018,0.06,1789,0.11,3715,244,0.07,256,0.07,2985,113,0.04,544,0.18,82.1,0.045,0.107,0.077,0.281,0.206,0.089,0.772,0.742,0.048,0.13,0.328,0.94,0.94,0.98,0.63,0.7,0.81,0.95,0.03,0.03,0.22,0.27,0.4,0.6,0.57
town,Enfield,41346,8157,0.2,33189,0.8,7095,0.17,29724,0.72,2508,0.06,5294,0.13,3820,0.09,2546,0.06,16394,12393,0.76,4570,0.28,39545,4088,0.1,8109,0.21,8073,1434,0.18,2541,0.31,6819,467,0.07,1196,0.18,79.3,0.056,0.115,0.094,0.314,0.268,0.114,0.76,0.696,0.07,0.148,0.344,0.76,0.6,0.73,0.37,0.56,0.75,0.81,0.12,0.05,0.37,0.52,0.77,0.63,0.58
town,Essex,6754,1046,0.15,5708,0.85,1782,0.26,6064,0.9,125,0.02,164,0.02,401,0.06,552,0.08,3009,2265,0.75,1070,0.36,6692,355,0.05,908,0.14,1044,74,0.07,179,0.17,1740,98,0.06,295,0.17,82.1,0.064,0.104,0.096,0.329,0.234,0.112,0.806,0.771,0.043,0.111,0.283,0.88,0.93,0.97,0.83,0.71,0.86,1,0.04,0,0.18,0.42,0.48,0.49,0.62
town,Fairfield,62072,14911,0.24,47161,0.76,9594,0.15,54614,0.88,510,0.01,2706,0.04,4242,0.07,7255,0.12,20506,17066,0.83,6214,0.31,56865,3017,0.05,7370,0.13,14627,277,0.02,1726,0.12,9138,449,0.05,1375,0.15,82.2,0.045,0.099,0.065,0.244,0.179,0.08,0.731,0.785,0.047,0.09,0.282,0.9,0.94,0.93,0.7,0.75,0.82,0.96,0.06,0.05,0.26,0.69,0.72,0.68,0.8
town,Farmington,26623,5218,0.2,21405,0.8,5432,0.2,18885,0.71,742,0.03,1798,0.07,5198,0.2,5424,0.2,11027,8235,0.75,3220,0.3,26450,1729,0.07,3593,0.14,5199,193,0.04,388,0.07,5315,291,0.05,1287,0.24,81.9,0.056,0.108,0.093,0.317,0.232,0.103,0.785,0.764,0.042,0.102,0.31,0.88,0.95,0.88,0.67,0.82,0.83,0.94,0.02,0.03,0.17,0.41,0.63,0.82,0.65
town,Franklin,1892,470,0.25,1422,0.75,358,0.19,1535,0.81,62,0.03,105,0.06,190,0.1,21,0.01,700,598,0.85,146,0.22,1867,108,0.06,265,0.14,445,40,0.09,69,0.16,358,28,0.08,64,0.18,78.8,0.055,0.109,0.091,0.295,0.237,0.102,0.774,0.749,0.054,0.153,0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Glastonbury,35105,7280,0.21,27825,0.79,7280,0.21,27295,0.78,568,0.02,2850,0.08,4392,0.13,4627,0.13,14161,11665,0.82,3223,0.23,34877,1376,0.04,3315,0.1,7250,118,0.02,576,0.08,7155,386,0.05,1051,0.15,82.5,0.049,0.106,0.085,0.302,0.208,0.09,0.784,0.786,0.037,0.095,0.307,0.89,0.95,0.89,0.66,0.72,0.82,0.95,0.06,0.06,0.22,0.44,0.68,0.67,0.82
town,Goshen,3144,621,0.2,2523,0.8,710,0.23,2512,0.8,2,0,224,0.07,406,0.13,360,0.11,1197,1060,0.89,256,0.22,3144,263,0.08,356,0.11,621,148,0.24,148,0.24,710,0,0,69,0.1,82.6,0.058,0.1,0.091,0.306,0.218,0.105,0.764,0.758,0.041,0.11,0.309,0.95,0.89,0.92,0.58,0.9,0.82,0.97,0.11,0,0.28,0.03,0.31,0.73,0.68
town,Granby,10972,2273,0.21,8699,0.79,2143,0.2,10121,0.92,103,0.01,291,0.03,457,0.04,603,0.05,4277,3899,0.91,1031,0.24,10854,354,0.03,845,0.08,2249,21,0.01,87,0.04,2057,153,0.07,249,0.12,81.1,0.053,0.109,0.087,0.313,0.22,0.097,0.782,0.777,0.038,0.11,0.314,0.86,0.92,0.96,0.5,0.74,0.83,0.98,0.04,0.02,0.27,0.34,0.29,0.81,0.72
town,Greenwich,63498,16290,0.26,47208,0.74,10833,0.17,44475,0.7,2633,0.04,8972,0.14,7418,0.12,13668,0.22,22662,15251,0.67,7498,0.34,63084,3078,0.05,7739,0.12,16281,762,0.05,2141,0.13,10500,527,0.05,1220,0.12,84,0.049,0.096,0.074,0.266,0.182,0.088,0.745,0.78,0.051,0.09,0.283,0.94,0.93,0.91,0.77,0.77,0.8,0.94,0.09,0.06,0.2,0.66,0.71,0.64,0.83
town,Griswold,11488,2124,0.18,9364,0.82,2054,0.18,10447,0.91,7,0,333,0.03,701,0.06,187,0.02,4884,3621,0.74,1525,0.32,11484,831,0.07,2657,0.23,2123,74,0.03,597,0.28,2054,66,0.03,485,0.24,78,0.052,0.117,0.091,0.28,0.26,0.108,0.757,0.7,0.072,0.183,0.356,0.8,0.76,0.82,0.46,0.77,0.72,0.84,0.23,0.11,0.32,0.52,0.66,0.64,0.73
